count;year;name
62;2007;Sofia
5;2007;Taly
5;2007;Tomas
7;2007;Wendy
31;2007;Youssef
5;2008;Aaliyah
24;2008;Albane
259;2008;Alexandre
136;2008;Alice
19;2008;Amira
12;2008;Anaelle
23;2008;Astrid
6;2008;Aubin
22;2008;Audrey
7;2008;Camila
37;2008;Carla
6;2008;Célestine
5;2008;Celina
5;2008;Cheyenne
40;2008;Claire
9;2008;Cyril
5;2008;Damian
35;2008;Daphné
29;2008;Elliot
9;2008;Emilia
10;2008;Emmanuelle
9;2008;Feriel
7;2008;Filip
11;2008;Frédéric
6;2008;Grâce
24;2008;Hortense
5;2008;Ianis
48;2008;Ibrahim
40;2008;Ilyes
226;2008;Inès
18;2008;Isabelle
11;2008;Issam
12;2008;Ivan
5;2008;Jane
21;2008;Julian
6;2008;Kilyan
37;2008;Kylian
7;2008;Leny
6;2008;Léopoldine
30;2008;Lise
48;2008;Luca
17;2008;Mahamadou
48;2008;Matthieu
5;2008;Merwan
14;2008;Michel
5;2008;Nazim
5;2008;Noha
109;2008;Pauline
5;2008;Philéas
12;2008;Pierre-Louis
27;2008;Rachel
30;2008;Rayane
5;2008;Reda
16;2008;Sabrina
6;2008;Shaïna
15;2008;Sidonie
22;2008;Solène
48;2008;Suzanne
9;2008;Tidiane
8;2008;Vianney
11;2008;Wael
7;2008;Warren
10;2008;Wendy
13;2008;Xavier
7;2008;Ysée
76;2009;Aaron
5;2009;Abdoul
8;2009;Adama
6;2009;Ahmad
40;2009;Aïcha
5;2009;Alessio
7;2009;Alfred
7;2009;Ambrine
10;2009;Anastasia
15;2009;Anya
93;2009;Baptiste
34;2009;Blanche
59;2009;Capucine
8;2009;Célestine
5;2009;Charlize
11;2009;Cléa
9;2009;Clothilde
5;2009;Corto
7;2009;Cyrine
6;2009;Éléa
52;2009;Eléonore
88;2009;Elise
17;2009;Ewen
28;2009;François
35;2009;Hamza
5;2009;Haya
6;2009;Idan
6;2009;Isée
12;2009;Jad
5;2009;Kamélia
17;2009;Karl
6;2009;Kawtar
9;2009;Keren
11;2009;Kévin
7;2009;Laurent
8;2009;Leonardo
6;2009;Loïs
10;2009;Louka
7;2009;Maïwenn
10;2009;Maryam
6;2009;Mateja
37;2009;Matteo
6;2009;Maxence
7;2009;Mayane
14;2009;Mayeul
18;2009;Melvil
6;2009;Mickael
30;2009;Milan
9;2009;Nathalie
12;2009;Nolann
39;2009;Nora
16;2009;Raphael
119;2009;Rayan
5;2009;Roland
88;2009;Romane
21;2009;Sacha
11;2009;Selyan
6;2009;Shaïly
7;2009;Solange
27;2009;Stanislas
9;2009;Ugo
78;2009;Victoire
8;2009;Wandrille
5;2009;Yaïr
120;2009;Yanis
24;2009;Younes
5;2010;Abdel
8;2010;Abigaël
6;2010;Adame
13;2004;Alban
5;2004;Alison
5;2004;Alizée
18;2004;Amira
17;2004;Andy
63;2004;Apolline
5;2004;Ary
5;2004;Baudouin
10;2004;Bilel
5;2004;Calista
6;2004;Camelia
7;2004;Chaï
12;2004;Christian
51;2004;Clémentine
22;2004;Djibril
52;2004;Eliott
138;2004;Eva
17;2004;Fanta
17;2004;Farah
8;2004;Félicie
19;2004;Fleur
16;2004;Franck
253;2004;Gabriel
9;2004;Giovanni
10;2004;Grégory
6;2004;Guy
6;2004;Harold
6;2004;Iban
20;2004;Selma
6;2004;Sharon
59;2004;Shirel
288;2004;Thomas
15;2004;Vadim
7;2004;Wilson
15;2004;Yannis
6;2004;Younès
6;2005;Alon
6;2005;Amara
25;2005;Ana
8;2005;Angélina
5;2005;Anne-Sophie
10;2005;Auriane
13;2005;Ayman
139;2005;Baptiste
9;2005;Cléo
8;2005;Dalia
6;2005;Djénéba
10;2005;Elisabeth
33;2005;Emmanuel
8;2005;Emmy
9;2005;Eulalie
21;2005;Fanta
119;2005;Gaspard
13;2005;Georges
11;2005;Hana
37;2005;Hector
17;2005;Ilyes
10;2005;Isis
38;2005;Ismaël
9;2005;Jason
6;2005;Joan
64;2005;Justine
12;2005;Kahina
6;2005;Karen
5;2005;Karima
14;2005;Kilian
20;2005;Kylian
15;2005;Lilas
5;2005;Louison
6;2005;Lynn
6;2005;Mahé
5;2005;Manuel
7;2005;Marouane
126;2005;Mathis
90;2005;Matthieu
8;2005;Mayeul
13;2005;Melvin
10;2005;Michel
7;2005;Moustapha
6;2005;Noor
7;2005;Oren
7;2005;Pierre-Antoine
7;2005;Rodrigue
21;2005;Roméo
5;2005;Tancrède
11;2005;Tanguy
5;2005;Tao
24;2005;Thaïs
7;2005;Thelma
226;2005;Thomas
45;2005;Titouan
7;2005;Tobias
6;2005;Yacouba
45;2005;Yann
7;2005;Yaya
16;2005;Yohan
42;2006;Achille
6;2006;Alain
5;2006;Alvin
5;2006;Amanda
10;2004;Irina
5;2004;Isis
8;2004;Jarod
21;2004;Jérémie
13;2004;Joachim
10;2004;John
39;2004;Jonathan
6;2004;Josh
167;2004;Juliette
5;2004;Kenan
58;2004;Kevin
5;2004;Khadidja
25;2004;Kylian
5;2004;Leonardo
5;2004;Livia
73;2004;Lola
5;2004;Lorette
29;2004;Louna
5;2004;Marcel
5;2004;Maryline
14;2004;Mateo
11;2004;Merlin
37;2004;Moussa
14;2004;Natacha
13;2004;Nawel
10;2004;Olga
6;2004;Oren
6;2004;Oussama
6;2004;Paco
7;2004;Rafaël
6;2004;Ramy
21;2004;Rebecca
32;2004;Roman
31;2004;Sabrina
8;2004;Salimata
12;2010;Angèle
161;2010;Anna
18;2010;Asma
20;2010;Brune
8;2010;Bruno
11;2010;Camila
5;2010;Celeste
36;2010;Claire
6;2010;Cléa
17;2010;Dounia
8;2010;Eden
6;2010;Ely
18;2010;Emmy
6;2010;Firas
13;2010;Gabriela
16;2010;Georges
26;2010;Grégoire
6;2010;Hélie
9;2010;Hiba
46;2010;Isaac
5;2010;Jacob
8;2010;Jimmy
5;2010;Joris
85;2010;Julia
7;2010;Lahna
5;2010;Lauren
17;2010;Léandre
11;2010;Léane
6;2010;Leyna
37;2010;Lise
22;2010;Liv
10;2010;Loane
5;2010;Louanne
7;2010;Loup
6;2010;Luan
106;2010;Lucie
7;2010;Luke
7;2010;Lylia
29;2010;Lyna
7;2010;Macéo
25;2010;Maïssa
5;2010;Maja
6;2010;Maksim
31;2010;Malo
39;2010;Marc
84;2010;Maya
12;2010;Méline
6;2010;Mya
22;2010;Naomie
14;2010;Nell
8;2010;Nelson
8;2010;Nizar
26;2010;Raphaëlle
7;2010;Riad
71;2010;Salomé
14;2010;Sandro
5;2010;Séléna
13;2010;Shirel
6;2010;Tasnime
11;2010;Warren
6;2011;Adame
6;2011;Alexander
10;2011;Amelia
8;2011;Anselme
6;2011;Arman
7;2011;Artus
37;2011;Basile
7;2011;Ben
19;2011;Bianca
13;2011;Boubacar
9;2011;Celia
33;2011;César
12;2011;Charly
109;2011;Clémence
10;2011;Cyprien
5;2011;Dalla
14;2011;Diana
25;2011;Dina
42;2011;Elie
18;2011;Emmy
28;2011;Erwan
28;2011;Eve
14;2011;Ewan
12;2011;Félicie
5;2011;Gaëlle
53;2011;Garance
46;2011;Gustave
40;2011;Hadrien
88;2011;Héloïse
24;2011;Ibrahima
8;2011;Jean-Baptiste
7;2011;Jeremy
32;2011;Joachim
8;2011;Joan
5;2011;Juliana
7;2011;Kadiatou
5;2011;Kenzi
7;2011;Khalil
5;2011;Kim
5;2011;Liana
42;2011;Lila
54;2011;Lily
5;2011;Loïse
29;2011;Lorenzo
109;2011;Lucie
25;2011;Maïssa
7;2011;Marko
27;2011;Maryam
7;2011;Mohamed-Amine
13;2011;Mona
36;2011;Myriam
10;2011;Neïla
7;2011;Nelly
9;2011;Nolhan
7;2011;Olympe
23;2011;Oumou
22;2011;Roméo
6;2011;Rosa
35;2011;Roxane
6;2011;Saad
8;2011;Samba
45;2011;Sasha
5;2011;Tanya
14;2011;Thelma
5;2011;Théophane
5;2011;Tiana
6;2020;Johanna
6;2020;Khadidja
6;2020;Lucy
5;2020;Aliou
5;2020;Hamidou
5;2020;Lukas
5;2020;Priam
5;2020;Alizée
5;2020;Camilla
5;2020;Malaïka
5;2020;Rayhana
5;2020;Zohra
138;2021;Jeanne
134;2021;Alexandre
124;2021;Ava
117;2021;Nina
114;2021;Noé
98;2021;Basile
93;2021;Jade
90;2021;Martin
69;2021;Giulia
60;2021;Manon
59;2021;Lucie
47;2021;Pablo
45;2021;Ezra
44;2021;Marcel
43;2021;Aïcha
42;2021;Elena
40;2021;Elie
37;2021;Olympe
34;2021;Aurèle
32;2021;Jacques
31;2021;Hamza
26;2021;Pénélope
25;2021;Zélie
24;2021;Judith
23;2021;Amina
22;2021;Lena
21;2021;Astrid
21;2021;Jana
19;2021;Lenny
19;2021;Romain
18;2021;Kamil
16;2021;Khalil
15;2021;Daouda
15;2021;Swann
14;2021;Elisabeth
14;2021;Jannah
14;2021;Julien
14;2021;Sekou
12;2021;Nola
11;2021;Khadidja
11;2021;Nessa
11;2021;Wassim
10;2021;Amy
10;2021;Waël
9;2021;Adama
9;2021;Coumba
9;2021;Ilian
9;2021;Marco
8;2021;Joanne
8;2021;Sana
7;2021;Eléna
7;2021;Eya
7;2021;Selena
7;2021;Aden
7;2021;Alfred
7;2021;Kenzo
7;2021;Mady
7;2021;Mylan
7;2021;Selim
6;2021;Aby
6;2021;Aïssatou
6;2021;Dalia
6;2021;Elissa
6;2021;Enora
6;2021;Mayline
6;2021;Sakina
6;2021;Akram
6;2021;Elyo
6;2021;Kenan
6;2021;Kenzi
6;2021;Leon
6;2021;Olivier
6;2021;Tyler
5;2021;Elsie
5;2021;Linda
5;2021;Milena
5;2021;Olympia
5;2021;Masten
5;2021;Tony
8;2019;Assil
7;2019;Ayna
7;2019;Béatrice
7;2019;Hajar
7;2019;Marta
7;2019;Zeinab
6;2019;Elhadj
6;2019;Eloi
6;2019;Timothy
6;2019;Warren
6;2019;Ayla
6;2019;Nell
6;2019;Sélène
6;2019;Suzie
5;2019;Aliocha
5;2019;Kyan
5;2019;Avigaïl
5;2019;Cara
5;2019;Elyna
5;2019;Layel
5;2019;Maïssane
285;2020;Adam
208;2020;Louise
117;2020;Basile
98;2020;Auguste
62;2020;Lucie
48;2020;Madeleine
46;2020;Youssef
38;2020;Éléonore
36;2020;Elio
34;2020;Aurèle
32;2020;Kaïs
32;2020;Elisa
32;2020;Hannah
30;2020;Jannah
27;2020;Kylian
25;2020;Gaston
25;2020;Nael
24;2020;Ana
23;2020;Sara
22;2020;Emilie
21;2020;Aboubacar
21;2020;Isaïah
20;2020;Anastasia
16;2020;Esmée
14;2020;Maïmouna
13;2020;Zakariya
13;2020;Anne
13;2020;Zaynab
12;2020;Yahya
12;2020;Andrea
11;2020;Alassane
11;2020;Kamil
11;2020;Isis
9;2020;Alphonse
9;2020;Marlon
8;2020;Fatim
8;2020;Khady
8;2020;Maëva
8;2020;Naïa
8;2020;Simone
7;2020;Arthus
7;2020;Elyo
7;2020;Foucauld
7;2020;Mylann
7;2020;Vasco
7;2020;Wael
7;2020;Waël
7;2020;Leïa
7;2020;Maram
7;2020;Mira
7;2020;Razane
6;2020;Jamal
6;2020;Mayeul
6;2020;Safwan
6;2020;Xavier
6;2020;Janelle
54;2011;Violette
9;2011;Yaël
6;2011;Zéphyr
13;2012;Abdallah
35;2012;Andrea
11;2012;Arnaud
10;2012;Ayden
11;2012;Boubacar
6;2012;Cassandra
16;2012;Charly
13;2012;Darius
13;2012;Elia
23;2012;Emy
14;2012;Eric
